,entropy,origin,vkp
0.0,0.615246011228,0.607638987736,0.495765364669
0.05,0.486169270396,0.607638987736,0.386689220329
0.1,0.529425854368,0.607638987736,0.463419415142
0.15,0.489988614104,0.607638987736,0.449421427471
0.2,0.445452192973,0.607638987736,0.418850140752
0.25,0.463602610642,0.607638987736,0.404659735485
0.3,0.450247339693,0.607638987736,0.413870881885
0.35,0.427762229348,0.607638987736,0.401812374158
0.4,0.419290159855,0.607638987736,0.407244350435
0.45,0.419290159855,0.607638987736,0.407244350435
